codigomuestra,parcela,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
20191025M09,p42,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31 17:06:56.234,2019-10-31 17:06:56.229,uuid:3655a453-308d-4abb-aa44-795d5a1d6427,2019-10-31 00:00:00,emdr,NULL,uuid:3655a453-308d-4abb-aa44-795d5a1d6427,"dorymyrmexsp,solenopsissp,brachymyrmexsp,paratrechinasp"
20191013M05,p107,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31 17:06:51.194,2019-10-31 17:06:51.19,uuid:ec5c6c19-982b-4b12-89eb-b44e24789ec7,2019-10-18 00:00:00,emdr,NULL,uuid:ec5c6c19-982b-4b12-89eb-b44e24789ec7,"solenopsissp,dorymyrmexsp,pheidolesp,cardiocondylasp"
20191410k11.6,p27,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 14:51:15.006,2019-10-31 14:51:15.002,uuid:1775291a-4d2f-4e84-82b7-6f4d3e28dfe8,2019-10-31 00:00:00,kmfg,NULL,uuid:1775291a-4d2f-4e84-82b7-6f4d3e28dfe8,solenopsissp
20191014B8,p160,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16 21:56:50.68,2019-10-16 21:56:50.675,uuid:8fa8cc2e-e7a2-4714-a25c-6cf34428471d,2019-10-16 00:00:00,bacs,NULL,uuid:8fa8cc2e-e7a2-4714-a25c-6cf34428471d,dorymyrmexsp
H20191012m4,p104,uid:mangoland|2019-08-27T17:32:44.139596Z,2019-11-01 01:09:38.802,2019-11-01 01:09:38.795,uuid:cbf72b09-301a-4a85-ab66-51335135dd8e,2019-10-12 00:00:00,"mlt,otra",Diyael Sosa,uuid:cbf72b09-301a-4a85-ab66-51335135dd8e,otra
20190928k3,p143,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31 15:07:41.347,2019-10-31 15:07:41.343,uuid:87945b65-c5ed-461c-9bdf-9377c01e1e06,2019-10-16 00:00:00,kmfg,NULL,uuid:87945b65-c5ed-461c-9bdf-9377c01e1e06,brachymyrmexsp
20190927M01,p182,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-17 18:43:26.473,2019-10-17 18:43:26.463,uuid:adb97e47-01f7-4c47-bfb0-1f9c0105fdda,2019-10-17 00:00:00,emdr,NULL,uuid:adb97e47-01f7-4c47-bfb0-1f9c0105fdda,"monomoriumsp,pheidolesp,dorymyrmexsp"
20191025M10,p33,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31 17:06:55.918,2019-10-31 17:06:55.912,uuid:bdf1381b-e75b-4ea7-b5dd-ecd2a5434bfe,2019-10-25 00:00:00,emdr,NULL,uuid:bdf1381b-e75b-4ea7-b5dd-ecd2a5434bfe,"pheidolesp,dorymyrmexsp,cardiocondylasp,brachymyrmexsp,solenopsissp,wasmanniasp"
20190928B3,p169,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16 21:56:49.517,2019-10-16 21:56:49.513,uuid:785b0a63-f3b9-4331-9839-69e578ca43be,2019-10-16 00:00:00,bacs,NULL,uuid:785b0a63-f3b9-4331-9839-69e578ca43be,"reina(s),dorymyrmexsp,dorymyrmexsp,dorymyrmexsp"
P163M1,p163,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02 14:17:57.882,2019-10-02 14:17:57.879,uuid:fb13ff12-e482-4a79-9201-2ad507ebce68,2019-10-02 00:00:00,dgb,NULL,uuid:fb13ff12-e482-4a79-9201-2ad507ebce68,solenopsissp
20191026M11,p132,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31 17:06:57.757,2019-10-31 17:06:57.749,uuid:85e1eea9-73b5-4b9c-ba52-b2c10af6ad57,2019-10-31 00:00:00,emdr,NULL,uuid:85e1eea9-73b5-4b9c-ba52-b2c10af6ad57,"dorymyrmexsp,pheidolesp,solenopsissp,tetramoriumsp,pseudomyrmexsp"
